suite	case	isa	status	exit	dependencies	mismatch	diagnostic
process	ptrace-attach-detach	aarch64	pass	0	linux-libc,fork,ptrace,attach,detach,signal-inject	-	EngineExit { kind: Code, guest_status: 0, detail: 0, fault: None }
process	ptrace-control-writes	aarch64	pass	0	linux-libc,fork,ptrace,poke,registers	-	EngineExit { kind: Code, guest_status: 0, detail: 0, fault: None }
process	ptrace-exec-stop	aarch64	pass	0	linux-libc,fork,ptrace,self-exec	-	EngineExit { kind: Code, guest_status: 0, detail: 0, fault: None }
process	ptrace-syscalls	aarch64	pass	0	linux-libc,fork,ptrace,signals,registers,tracee-memory	-	EngineExit { kind: Code, guest_status: 0, detail: 0, fault: None }
process	ptrace-attach-detach	x86_64	pass	0	linux-libc,fork,ptrace,attach,detach,signal-inject	-	EngineExit { kind: Code, guest_status: 0, detail: 0, fault: None }
process	ptrace-control-writes	x86_64	pass	0	linux-libc,fork,ptrace,poke,registers	-	EngineExit { kind: Code, guest_status: 0, detail: 0, fault: None }
process	ptrace-exec-stop	x86_64	pass	0	linux-libc,fork,ptrace,self-exec	-	EngineExit { kind: Code, guest_status: 0, detail: 0, fault: None }
process	ptrace-syscalls	x86_64	pass	0	linux-libc,fork,ptrace,signals,registers,tracee-memory	-	EngineExit { kind: Code, guest_status: 0, detail: 0, fault: None }
