2026-06-24 01:44:33 status unpacked libnpth0:arm64 1.6-3
2026-06-24 01:44:33 install dirmngr:arm64 <none> 2.2.40-1.1+deb12u2
2026-06-24 01:44:33 status half-installed dirmngr:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:33 status unpacked dirmngr:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:33 install gnupg-l10n:all <none> 2.2.40-1.1+deb12u2
2026-06-24 01:44:33 status half-installed gnupg-l10n:all 2.2.40-1.1+deb12u2
2026-06-24 01:44:33 status unpacked gnupg-l10n:all 2.2.40-1.1+deb12u2
2026-06-24 01:44:33 install gnupg-utils:arm64 <none> 2.2.40-1.1+deb12u2
2026-06-24 01:44:33 status half-installed gnupg-utils:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:34 status unpacked gnupg-utils:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:34 install libsqlite3-0:arm64 <none> 3.40.1-2+deb12u2
2026-06-24 01:44:34 status half-installed libsqlite3-0:arm64 3.40.1-2+deb12u2
2026-06-24 01:44:34 status unpacked libsqlite3-0:arm64 3.40.1-2+deb12u2
2026-06-24 01:44:34 install gpg:arm64 <none> 2.2.40-1.1+deb12u2
2026-06-24 01:44:34 status half-installed gpg:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:34 status unpacked gpg:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:34 install libncursesw6:arm64 <none> 6.4-4
2026-06-24 01:44:34 status half-installed libncursesw6:arm64 6.4-4
2026-06-24 01:44:34 status unpacked libncursesw6:arm64 6.4-4
2026-06-24 01:44:34 install pinentry-curses:arm64 <none> 1.2.1-1
2026-06-24 01:44:34 status half-installed pinentry-curses:arm64 1.2.1-1
2026-06-24 01:44:34 status unpacked pinentry-curses:arm64 1.2.1-1
2026-06-24 01:44:34 install gpg-agent:arm64 <none> 2.2.40-1.1+deb12u2
2026-06-24 01:44:34 status half-installed gpg-agent:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:34 status unpacked gpg-agent:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:34 install gpg-wks-client:arm64 <none> 2.2.40-1.1+deb12u2
2026-06-24 01:44:34 status half-installed gpg-wks-client:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:34 status unpacked gpg-wks-client:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:34 install gpg-wks-server:arm64 <none> 2.2.40-1.1+deb12u2
2026-06-24 01:44:34 status half-installed gpg-wks-server:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:34 status unpacked gpg-wks-server:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:34 install gpgsm:arm64 <none> 2.2.40-1.1+deb12u2
2026-06-24 01:44:34 status half-installed gpgsm:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:34 status unpacked gpgsm:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:34 install gnupg:all <none> 2.2.40-1.1+deb12u2
2026-06-24 01:44:34 status half-installed gnupg:all 2.2.40-1.1+deb12u2
2026-06-24 01:44:34 status unpacked gnupg:all 2.2.40-1.1+deb12u2
2026-06-24 01:44:34 install sq:arm64 <none> 0.27.0-2+b1
2026-06-24 01:44:34 status half-installed sq:arm64 0.27.0-2+b1
2026-06-24 01:44:34 status unpacked sq:arm64 0.27.0-2+b1
2026-06-24 01:44:34 startup packages configure
2026-06-24 01:44:34 configure libksba8:arm64 1.6.3-2 <none>
2026-06-24 01:44:34 status unpacked libksba8:arm64 1.6.3-2
2026-06-24 01:44:34 status half-configured libksba8:arm64 1.6.3-2
2026-06-24 01:44:34 status installed libksba8:arm64 1.6.3-2
2026-06-24 01:44:34 configure libkeyutils1:arm64 1.6.3-2 <none>
2026-06-24 01:44:34 status unpacked libkeyutils1:arm64 1.6.3-2
2026-06-24 01:44:34 status half-configured libkeyutils1:arm64 1.6.3-2
2026-06-24 01:44:34 status installed libkeyutils1:arm64 1.6.3-2
2026-06-24 01:44:34 configure libpsl5:arm64 0.21.2-1 <none>
2026-06-24 01:44:34 status unpacked libpsl5:arm64 0.21.2-1
2026-06-24 01:44:34 status half-configured libpsl5:arm64 0.21.2-1
2026-06-24 01:44:34 status installed libpsl5:arm64 0.21.2-1
2026-06-24 01:44:34 configure wget:arm64 1.21.3-1+deb12u1 <none>
2026-06-24 01:44:34 status unpacked wget:arm64 1.21.3-1+deb12u1
2026-06-24 01:44:34 status half-configured wget:arm64 1.21.3-1+deb12u1
2026-06-24 01:44:34 status installed wget:arm64 1.21.3-1+deb12u1
2026-06-24 01:44:34 configure libbrotli1:arm64 1.0.9-2+b6 <none>
2026-06-24 01:44:34 status unpacked libbrotli1:arm64 1.0.9-2+b6
2026-06-24 01:44:34 status half-configured libbrotli1:arm64 1.0.9-2+b6
2026-06-24 01:44:34 status installed libbrotli1:arm64 1.0.9-2+b6
2026-06-24 01:44:34 configure libsqlite3-0:arm64 3.40.1-2+deb12u2 <none>
2026-06-24 01:44:34 status unpacked libsqlite3-0:arm64 3.40.1-2+deb12u2
2026-06-24 01:44:34 status half-configured libsqlite3-0:arm64 3.40.1-2+deb12u2
2026-06-24 01:44:34 status installed libsqlite3-0:arm64 3.40.1-2+deb12u2
2026-06-24 01:44:34 configure libssl3:arm64 3.0.20-1~deb12u2 <none>
2026-06-24 01:44:34 status unpacked libssl3:arm64 3.0.20-1~deb12u2
2026-06-24 01:44:34 status half-configured libssl3:arm64 3.0.20-1~deb12u2
2026-06-24 01:44:34 status installed libssl3:arm64 3.0.20-1~deb12u2
2026-06-24 01:44:34 configure libnghttp2-14:arm64 1.52.0-1+deb12u3 <none>
2026-06-24 01:44:34 status unpacked libnghttp2-14:arm64 1.52.0-1+deb12u3
2026-06-24 01:44:34 status half-configured libnghttp2-14:arm64 1.52.0-1+deb12u3
2026-06-24 01:44:34 status installed libnghttp2-14:arm64 1.52.0-1+deb12u3
2026-06-24 01:44:34 configure libnpth0:arm64 1.6-3 <none>
2026-06-24 01:44:34 status unpacked libnpth0:arm64 1.6-3
2026-06-24 01:44:34 status half-configured libnpth0:arm64 1.6-3
2026-06-24 01:44:34 status installed libnpth0:arm64 1.6-3
2026-06-24 01:44:34 configure sq:arm64 0.27.0-2+b1 <none>
2026-06-24 01:44:34 status unpacked sq:arm64 0.27.0-2+b1
2026-06-24 01:44:34 status half-configured sq:arm64 0.27.0-2+b1
2026-06-24 01:44:34 status installed sq:arm64 0.27.0-2+b1
2026-06-24 01:44:34 configure libassuan0:arm64 2.5.5-5 <none>
2026-06-24 01:44:34 status unpacked libassuan0:arm64 2.5.5-5
2026-06-24 01:44:34 status half-configured libassuan0:arm64 2.5.5-5
2026-06-24 01:44:34 status installed libassuan0:arm64 2.5.5-5
2026-06-24 01:44:34 configure libkrb5support0:arm64 1.20.1-2+deb12u5 <none>
2026-06-24 01:44:34 status unpacked libkrb5support0:arm64 1.20.1-2+deb12u5
2026-06-24 01:44:34 status half-configured libkrb5support0:arm64 1.20.1-2+deb12u5
2026-06-24 01:44:34 status installed libkrb5support0:arm64 1.20.1-2+deb12u5
2026-06-24 01:44:34 configure libsasl2-modules-db:arm64 2.1.28+dfsg-10 <none>
2026-06-24 01:44:34 status unpacked libsasl2-modules-db:arm64 2.1.28+dfsg-10
2026-06-24 01:44:34 status half-configured libsasl2-modules-db:arm64 2.1.28+dfsg-10
2026-06-24 01:44:34 status installed libsasl2-modules-db:arm64 2.1.28+dfsg-10
2026-06-24 01:44:34 configure gnupg-l10n:all 2.2.40-1.1+deb12u2 <none>
2026-06-24 01:44:34 status unpacked gnupg-l10n:all 2.2.40-1.1+deb12u2
2026-06-24 01:44:34 status half-configured gnupg-l10n:all 2.2.40-1.1+deb12u2
2026-06-24 01:44:34 status installed gnupg-l10n:all 2.2.40-1.1+deb12u2
2026-06-24 01:44:34 configure librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2026-06-24 01:44:34 status unpacked librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2026-06-24 01:44:34 status half-configured librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2026-06-24 01:44:34 status installed librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2026-06-24 01:44:34 configure libncursesw6:arm64 6.4-4 <none>
2026-06-24 01:44:34 status unpacked libncursesw6:arm64 6.4-4
2026-06-24 01:44:35 status half-configured libncursesw6:arm64 6.4-4
2026-06-24 01:44:35 status installed libncursesw6:arm64 6.4-4
2026-06-24 01:44:35 configure libk5crypto3:arm64 1.20.1-2+deb12u5 <none>
2026-06-24 01:44:35 status unpacked libk5crypto3:arm64 1.20.1-2+deb12u5
2026-06-24 01:44:35 status half-configured libk5crypto3:arm64 1.20.1-2+deb12u5
2026-06-24 01:44:35 status installed libk5crypto3:arm64 1.20.1-2+deb12u5
2026-06-24 01:44:35 configure libsasl2-2:arm64 2.1.28+dfsg-10 <none>
2026-06-24 01:44:35 status unpacked libsasl2-2:arm64 2.1.28+dfsg-10
2026-06-24 01:44:35 status half-configured libsasl2-2:arm64 2.1.28+dfsg-10
2026-06-24 01:44:35 status installed libsasl2-2:arm64 2.1.28+dfsg-10
2026-06-24 01:44:35 configure libssh2-1:arm64 1.10.0-3+b1 <none>
2026-06-24 01:44:35 status unpacked libssh2-1:arm64 1.10.0-3+b1
2026-06-24 01:44:35 status half-configured libssh2-1:arm64 1.10.0-3+b1
2026-06-24 01:44:35 status installed libssh2-1:arm64 1.10.0-3+b1
2026-06-24 01:44:35 configure netbase:all 6.4 <none>
2026-06-24 01:44:35 status unpacked netbase:all 6.4
2026-06-24 01:44:35 status half-configured netbase:all 6.4
2026-06-24 01:44:35 status installed netbase:all 6.4
2026-06-24 01:44:35 configure libkrb5-3:arm64 1.20.1-2+deb12u5 <none>
2026-06-24 01:44:35 status unpacked libkrb5-3:arm64 1.20.1-2+deb12u5
2026-06-24 01:44:35 status half-configured libkrb5-3:arm64 1.20.1-2+deb12u5
2026-06-24 01:44:35 status installed libkrb5-3:arm64 1.20.1-2+deb12u5
2026-06-24 01:44:35 configure openssl:arm64 3.0.20-1~deb12u2 <none>
2026-06-24 01:44:35 status unpacked openssl:arm64 3.0.20-1~deb12u2
2026-06-24 01:44:35 status half-configured openssl:arm64 3.0.20-1~deb12u2
2026-06-24 01:44:35 status installed openssl:arm64 3.0.20-1~deb12u2
2026-06-24 01:44:35 configure readline-common:all 8.2-1.3 <none>
2026-06-24 01:44:35 status unpacked readline-common:all 8.2-1.3
2026-06-24 01:44:35 status half-configured readline-common:all 8.2-1.3
2026-06-24 01:44:35 status installed readline-common:all 8.2-1.3
2026-06-24 01:44:35 configure pinentry-curses:arm64 1.2.1-1 <none>
2026-06-24 01:44:35 status unpacked pinentry-curses:arm64 1.2.1-1
2026-06-24 01:44:35 status half-configured pinentry-curses:arm64 1.2.1-1
2026-06-24 01:44:35 status installed pinentry-curses:arm64 1.2.1-1
2026-06-24 01:44:35 configure libreadline8:arm64 8.2-1.3 <none>
2026-06-24 01:44:35 status unpacked libreadline8:arm64 8.2-1.3
2026-06-24 01:44:35 status half-configured libreadline8:arm64 8.2-1.3
2026-06-24 01:44:35 status installed libreadline8:arm64 8.2-1.3
2026-06-24 01:44:35 configure libldap-2.5-0:arm64 2.5.13+dfsg-5 <none>
2026-06-24 01:44:35 status unpacked libldap-2.5-0:arm64 2.5.13+dfsg-5
2026-06-24 01:44:35 status half-configured libldap-2.5-0:arm64 2.5.13+dfsg-5
2026-06-24 01:44:35 status installed libldap-2.5-0:arm64 2.5.13+dfsg-5
2026-06-24 01:44:35 configure ca-certificates:all 20230311+deb12u1 <none>
2026-06-24 01:44:35 status unpacked ca-certificates:all 20230311+deb12u1
2026-06-24 01:44:35 status half-configured ca-certificates:all 20230311+deb12u1
2026-06-24 01:44:36 status installed ca-certificates:all 20230311+deb12u1
2026-06-24 01:44:36 status triggers-pending ca-certificates:all 20230311+deb12u1
2026-06-24 01:44:36 configure libgssapi-krb5-2:arm64 1.20.1-2+deb12u5 <none>
2026-06-24 01:44:36 status unpacked libgssapi-krb5-2:arm64 1.20.1-2+deb12u5
2026-06-24 01:44:36 status half-configured libgssapi-krb5-2:arm64 1.20.1-2+deb12u5
2026-06-24 01:44:36 status installed libgssapi-krb5-2:arm64 1.20.1-2+deb12u5
2026-06-24 01:44:36 configure gpgconf:arm64 2.2.40-1.1+deb12u2 <none>
2026-06-24 01:44:36 status unpacked gpgconf:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:36 status half-configured gpgconf:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:36 status installed gpgconf:arm64 2.2.40-1.1+deb12u2
