arm64	x86_64	name	status	arm64_status	x86_64_status
178	186	gettid	supported	supported	supported
179	99	sysinfo	supported	supported	supported
180	240	mq_open	router-domain-only	router-domain-only	router-domain-only
181	241	mq_unlink	router-domain-only	router-domain-only	router-domain-only
182	242	mq_timedsend	router-domain-only	router-domain-only	router-domain-only
183	243	mq_timedreceive	router-domain-only	router-domain-only	router-domain-only
184	244	mq_notify	router-domain-only	router-domain-only	router-domain-only
185	245	mq_getsetattr	router-domain-only	router-domain-only	router-domain-only
186	68	msgget	supported	supported	supported
187	71	msgctl	supported	supported	supported
188	70	msgrcv	supported	supported	supported
189	69	msgsnd	supported	supported	supported
190	64	semget	supported	supported	supported
191	66	semctl	supported	supported	supported
192	220	semtimedop	supported	supported	supported
193	65	semop	supported	supported	supported
194	29	shmget	supported	supported	supported
195	31	shmctl	supported	supported	supported
196	30	shmat	supported	supported	supported
197	67	shmdt	supported	supported	supported
198	41	socket	supported	supported	supported
199	53	socketpair	supported	supported	supported
200	49	bind	supported	supported	supported
201	50	listen	supported	supported	supported
202	43	accept	supported	supported	supported
203	42	connect	supported	supported	supported
204	51	getsockname	supported	supported	supported
205	52	getpeername	supported	supported	supported
206	44	sendto	supported	supported	supported
207	45	recvfrom	supported	supported	supported
208	54	setsockopt	supported	supported	supported
209	55	getsockopt	supported	supported	supported
210	48	shutdown	supported	supported	supported
211	46	sendmsg	supported	supported	supported
212	47	recvmsg	supported	supported	supported
213	187	readahead	supported	supported	supported
214	12	brk	supported	supported	supported
215	11	munmap	supported	supported	supported
216	25	mremap	supported	supported	supported
217	248	add_key	missing	missing	missing
218	249	request_key	missing	missing	missing
219	250	keyctl	missing	missing	missing
220	56	clone	supported	supported	supported
221	59	execve	supported	supported	supported
222	9	mmap	supported	supported	supported
223	221	fadvise64	supported	supported	supported
224	167	swapon	missing	missing	missing
225	168	swapoff	missing	missing	missing
226	10	mprotect	supported	supported	supported
227	26	msync	supported	supported	supported
228	149	mlock	supported	supported	supported
229	150	munlock	supported	supported	supported
230	151	mlockall	supported	supported	supported
231	152	munlockall	supported	supported	supported
232	27	mincore	supported	supported	supported
233	28	madvise	supported	supported	supported
234	216	remap_file_pages	missing	missing	missing
235	237	mbind	missing	missing	missing
236	239	get_mempolicy	router-domain-only	router-domain-only	router-domain-only
237	238	set_mempolicy	missing	missing	missing
238	256	migrate_pages	missing	missing	missing
239	279	move_pages	router-domain-only	router-domain-only	router-domain-only
240	297	rt_tgsigqueueinfo	supported	supported	supported
241	298	perf_event_open	missing	missing	missing
242	288	accept4	supported	supported	supported
